question,correct_answer,llama_distractor1,llama_distractor2,llama_distractor3,original_distractor1,original_distractor2,original_distractor3
"Recent evidence indicates some of what type of cells remain within the heart, continuing to divide and potentially replace dead cells?",stem cells,heart muscle cells,cardiac muscle cells,mitosis,osteoclast cells,human cells,dendritic cells
About what percentage of the earth's water is fresh water?,three percent,ten percent,twenty percent,fifty percent,two percent,nine percent,thirty percent
"While numerous elements can undergo fission, only a few can be used as fuels in what nuclear devices?",reactors,big bombs,power plants,spacecraft,colliders,laser beams,accelerators
"What is an estimation of all of the organic matter available as food, and involves measuring biomass in terrestrial environments?",net primary productivity,gross primary productivity,aboveground biomass,global primary productivity,food chain,decomposition energy,trophic level total
"Twenty-four hours before fertilization, the egg has finished meiosis and becomes a mature what?",oocyte,embryo,zygote,fertilized egg,spermatozoa,fetus,zygote
Oxygen is combined with what to form water?,hydrogen,nitrogen,carbon,sulfur,glucose,helium,carbon
Does lava flow quickly or slowly when thick?,slowly,rapidly,quickly,slowly but surely,quickly,rapidly,steadily
"Habitat loss caused by human actions is a prime culprit in what phenomenon, which appears to be occurring for a sixth time?",mass extinction,climate change,pollution,deforestation,spontaneous mutation,mass migrations,Big Bang
What patterns in trees can be used to determine its age?,rings,stripes,spots,rays,bark ridges,colors,veins
All of the petals together are called what?,corolla,sepals,stamen,pistil,stamen,anthers,stalk
Any nucleus that is unstable and decays spontaneously is said to be what?,radioactive,stable,unchanging,persistent,neutral,dull,magnetic
What is the term for viscous magmas that are high in silica and tend to stay below the surface or erupt explosively?,felsic magmas,basaltic magmas,intermediate magmas,andesitic magmas,sedimentary magmas,compacted magmas,combustible magmas
How many meters deep does the photic zone extend?,200,500,1000,1500,400,100,900
What is the name of the process in which the nuclei of uranium atoms are split?,nuclear fission,nuclear fusion,nuclear reaction,nuclear meltdown,critical fission,atomic fusion,nuclear fusion
What type of bonds are formed between atoms sharing electrons?,covalent,ionic,hydrogen,metallic,neutron bonds,hydroxyl,ionic
An individual virus is called what?,a virion,à human,plasma,particle,a toxin,a polymer,a pathogen
What type of particle collides with an atom of u-235 during the basic nuclear fission process?,a neutron,beta particle,gamma ray,proton,an electron,a nuclei,a proton
"Bees, wasps, ants, butterflies, moths, flies and beetles belong to what animal phylum?",arthropods,vertebrates,reptiles,birds,insects,crustaceans,cephalopods
How many ways are there for a species to go extinct?,two,4,6,12,four,eight,Ten
The skin disease impetigo is caused by spread of what type of microorganism?,bacteria,virus,fungus,protozoa,viruses,tumors,algae
What cycle is part of cellular respiration and makes atp and naph?,krebs,raph,calvin,glycolysis,vireos,water cycle,carbon cycle
What type of mechanical weathering occurs when one rock bumps against another rock?,abrasion,attrition,chemical weathering,freeze-thaw weathering,absorption,refraction,disintegration
What kind of hormones serve many functions in addition to promoting gamete production?,sex hormones,thyroid hormones,adrenal hormones,growth hormones,Multifaceted hormones,reflection hormones,Utility hormones
"The tissue that will become the scrotum in a male becomes the labia in a female, thus, they are regarded as having what relationship?",homologous,these are emojis representing a confused face,a disappointed face,a shrug,opposite,symbiotic,mutual
How frequently do high tides occur?,every 12 hours,24 hours,every 8 hours,every 10 hours,Every 96 hours,Every 24 hours,Every 48 hours
What phase does the cell make final preparations to divide?,growth phase 2,cell cycle,dna replication,cell division,growth phase 1,carbonate phase 2,dioxide phase 2
How do multicellular organisms grow in size?,increase size and number of cells,narrow passages,increase in weight,expand their shape,reduce size and number of cells,increase number of limbs,increase size and number of genes
Who wrote the book on the origin of species?,darwin,lincoln,newton,hobbes,Scopes,Sagan,cannon
What is considered a good source of calcium?,milk,ice cream,chocolate,broccoli,wheat,egg,corn
"What nervous system is divided into two parts, the sensory division and the motor division?",peripheral,central,autonomic,enteric,physiological,developmental,central
"When mendel crossed purple flowered-plants and white flowered-plants, all the offspring had what color flowers?",purple,white,pink,purple-white,blue,red,yellow
"When statoliths settle to the low point in the chamber, they stimulate what in that location?",mechanoreceptors,chemoreceptors,photoreceptors,electroreceptors,dendrites,axons,nociceptors
The goal of this is the understand how and why things happen?,science,geography,history,mathematics,experience,inquiry,theory
"What are the most diverse organisms on earth, which are often classified by shape or how they react to gram stain?",bacteria,fish,plants,animals,cultures,pathogens,algae
"Breathing involves differences in what, measured in torr, between the inside of the lungs and the air outside?",pressure,temperature,volume,humidity,temperature,gravity,resistance
Gymnamoebas constitute a large and varied group of what?,amoebozoans,bacteria,fungi,archaea,newborns,cells,sporozoans
Lymph vessels make up a circulatory system that is similar to the blood vessels of what system?,cardiovascular,respiratory,muscular,nervous,nervous,cardiac,gastrointestinal
"In weather terms, what do you call the boundary between two air masses?",front,aturday,subset,gradient,cloud,mass,cover
What process takes place when plants release water vapor through pores in their leaves called stomata?,transpiration,respiration,evaporation,photosynthesis,evaporation,expiration,propagation
Most hydrogen atoms have how many protons?,one,two,three,four,two,three,four
How many viruses that can cause cancer in humans have been identified by scientists?,6,10,20,30,4,3,1
What is utilized to analyze simple mendelian inheritance?,pedigree,chromosome map,family tree,genetic code,origins,dna,trait
What is the only animal phyla that does not consist exclusively of invertebrates?,chordates,mollusks,arachnids,echinoderms,arthropods,bacteria,eukaryotes
Soap acts as what kind of agent between grease and water?,emulsifying,cleaning,washing,dissolving,lubricating,codifying,sterilizing
The nucleus from a differentiated frog cell can direct development of what?,tadpole,answer1,adult frog,fully formed fly,embryo,fetus,ovary
"In a few species, chloroplast genes are inherited only from what?",sperm,egg,mouse,father,mothers,siblings,eggs
Ions flow through atp synthase from the thylakoid space into the stroma in a process called known as what?,chemiosmosis,fishing,swimming,diving,oxidation,respiration,fertilization
The cell membrane consists of two layers of what?,phospholipids,sugar,water,protein,chlorophyll,epidermis,filaments
What is an adaptation?,favorable trait,inherent trait,learned behavior,random trait,harmful mutation,unfavorable trait,inherited gene
Where fossils of the genus eomaia found?,china,australia,antarctica,mars,Japan,Egypt,India
By exploding what the space probes get separated from their launchers?,bolts,rods,wires,springs,frames,doors,walls
What is the energy that matter possesses because of its location or structure?,potential energy,temperature,momentum,kinetic energy,kinetic energy,mechanical energy,thermal energy
What is the term for the relatively stable state inside the body of an animal?,homeostasis,search,stability,equilibrium,metabolism,dormancy,consciousness
What is the middle layer of connective tissue called?,perimysium,endomysium,fascicle,aponeurosis,tendon,xerophyte,pollenation
Reversible reactions are indicated by what kinds of arrows?,opposite-headed,видdigital,counterclockwise,curved,double-headed,resonance arrows,equilibrium arrows
Downhill skiiers gain little advantage from a running start because the initial kinetic energy is small compared with the gain in what other energy form?,gravitational potential energy,kinetic energy,thermal energy,elastic potential energy,gravitational kinetic energy,chemical energy,thermal energy
Population size is the number of what in a population?,individuals,households,cities,species,humans,subdivisions,proteins
Which sphincter is located at the stomach end of the esophagus and opens to allow the bolus to enter the stomach?,gastro-esophageal sphincter,cardiac sphincter,pyloric sphincter,pharyngeal sphincter,pupillary sphincter,pyloric sphincter,urethral sphincter
What adaptation helps prey hide and predators sneak up on prey?,camouflage,fly away,make a loud noise,outrun the predator,scent,claws,variation
Bursitis is the inflammation of a bursa near what?,joint,skin,muscle,tendon,brain stem,lung,muscle
What is one thing that cell membranes are permeable to?,specific ions,sugar,water,large molecules,nutrients,gas,metals
What kind of a process is corrosion?,galvanic,electrochemical,chemical,physical,electrolysis,oxidation,electromagnetic
What is equal to the angular acceleration multiplied by the radius of the rotating object?,linear acceleration,angular acceleration,radius of the rotating object,time,equilibrium,peak velocity,momentum
What is the membrane lining the back of the eye called?,retina,sclera,macula,lens,lens,cornea,aperture
Animals breath in air in order to obtain what element?,oxygen,carbon dioxide,nitrogen,helium,water,nitrogen,carbon
Monomers of condensation polymers must contain how many functional groups so that each monomer can link up with two other monomers?,two,1,3,4,three,four,one
What is the name of the skull that covers the brain and protects it?,the cranium,skullcap,brain case,cranial bone,cerebrum,Nasal bone,mandible
Silk and cotton are examples of what kind of fiber?,natural,synthetic,plastic,wool,pure,artificial,simple
Reacting with metal is one thing that distinguishes acids from what?,bases,acid,salt,sugar,metals,minerals,protiens
What happens to light when it passed from air to water?,it bends,it speeds up,it slows down,it stays the same,it contracts,it brightens,it speeds up
The basic voltaic cell variations are the dry cell and the what?,lead storage battery,gel cell,alkaline cell,nickel-cadmium battery,lead flood battery,positive terminal,lead electricity battery
"In a solution, what is the substance present in the lesser amount called?",solute,solvent,ionic compounds,nonelectrolytes,molecules,compound,fluids
A cochlear implant aims to restore loss of what sense?,hearing,silence,ringing,damage to the ear drum,vision,touch,taste
In which constellation is the helix nebula located?,aquarius,cetus,pisces,taurus,prometheus,zodiac,gemini
The chains in cellulose stack in parallel rows held together by hydrogen bonds between which groups?,hydroxl groups,oxygen groups,nitrogen groups,carboxyl groups,disc groups,carbon groups,soda groups
"The small, rocky bodies that orbit the sun are called what?",asteroids,planets,comets,meteors,comets,meteorites,fossils
Water is used by the plant to move materials up from the roots to make what?,food,oxygen,nutrients,proteins,light,chlorophyll,fruit
"Magnets have a ""north"" and a ""south"" what?",pole,magnetic field,end,side,arch,grid,temperature
"Exemplified by organisms that grow in geysers, hyperthermophiles ""love"" what?",heat,electrolytes,antibiotics,nutrients,humidity,cold,rainfall
What is the term for the multi-phase process in which the nucleus of the cell divides?,mitosis,meiosis,cytokinesis,gene expression,cytokinesis,mutation,epistasis
"Fungi often make specialized reproductive structures, such as what?",mushrooms,blorfs,slimes,sporeships,pieces,Fungus,herbs
"Inside female cones, female spores develop into female what?",gametophytes,seed,ovule,embryo,gymnosperms,filaments,tubules
What is the name of the molecule which has one carbon and four hydrogen atoms?,methane,ethane,propane,butane,carbohydrate,sulfur,carbon monoxide
"On a global scale, plants and other photosynthetic organisms have generated all of what element in the air?",oxygen,nitrogen,carbon dioxide,water vapor,nitrogen,carbon dioxide,methane
"What living creatures comprise the ""rainforests of the oceans""?",coral reefs,icebergs,kelp forests,shipwrecks,kelp,krill,algae
What type of reactions absorb heat from their surroundings?,endothermic,exothermic,isothermic,egothermic,geothermic,hypothermic,exothermic
"Two significant parts of the heat include the atrium and its counterpart, which is what?",ventricle,alveolar ducts,alveolar sacs,atrium,cells,skeletal,valve
Bigger ocean waves and waves that carry more sediment cause a greater extent of what?,erosion,deposition,habitat,destruction,drowning,silt,sand dunes
"Which science is an extension of genetics, evolution, anatomy, physiology, and other biological disciplines?",ethology,comparative psychology,neurobiology,behavioral psychology,microbiology,neurobiology,chronology
What are catalysts in living things called?,enzymes,hormones,antibodies,proteins,proteins,carbohydrates,carbohydrates
What is part of a large fungus that lives underground?,mushroom,root,stem,branch,bamboo,mold,bark
"When sediments settle out of water, what do they form?",horizontal layers,vertical layers,conical piles,scattered deposits,separated layers,erosion,magnetic layers
"In the inner ear, the vibrations are changed to electrical signals by hair cells lining what?",the cochlea,the tympanic membrane,the vestibular system,the auditory nerve,ear canal,hammer,ear lobe
What causes cells to divide if cytokinins are added to it?,auxin,gers beginner,cytokinins,dna,osmosis,apoptosis,hyptoxin
Algae produce food using what process?,photosynthesis,respiration,fermentation,decomposition,glycolysis,cellular respiration,spermatogenesis
What term is used to describe organic compounds such as sugars and starches?,carbohydrates,proteins,fats,minerals,fats,proteins,vegetables
What indicates horizontal distance and are also found on the map legend?,scales,map,compass,satellite imagery,spikes,edges,variations
The feeding positions in a food chain or web are called?,trophic levels,feeding positions,food chain levels,eat levels,secondary levels,producer levels,consumer levels
Parasites infect the host's what?,red blood cells,bone marrow,lymph nodes,liver,platelets,plasma,white blood cells
Earthquakes cause longitudinal waves as well as which other waves?,transverse,horizontal,vertical,spherical,aural,irregular,electromagnetic
How does the water cycle end?,it repeats itself,air,space,exhaust ducts,ocean evaporation,freezing glaciers,cloud precipitation
Light travels more quickly in air than what?,water,glass,vacuum,steel,earth,glass,metal
What is the general name for a group of atoms derived from an alkane?,alkyl group,ethyl group,phenyl group,aryl group,anode group,oxidation group,acid group
What are most cells surrounded by?,water,liquids,membranes,proteins,fat,lipids,air
What is the term for materials that have both a defined shape and a defined volume?,solids,liquids,gases,plasma,liquids,matter,gases
What is the radioactive process used in nuclear power plants and one type of nuclear bomb?,fission,fusion,decay,combustion,fusion,radiation,decay
Where does a crossover occur on a chromosome?,at different locations,9 creek,wtj ranch,dinosaur,at no locations,at one-two locations,at the same location
What are the biggest groups of stars called?,galaxies,constellations,nebulas,planetary systems,cells,novas,orbits
What type of energy is produced when two objects move together?,mechanical,electrical energy,chemical energy,thermal energy,internal,kinetic,fluid
What is the mechanism by which favorable traits become more common in organisms over the course of generations?,natural selection,genetic drift,genetic engineering,mutation,evolution,environmental selection,birth
What are the structural and functional units of the kidneys?,nephrons,renal corpuscles,glomeruli,collecting ducts,interneurons,fat cells,dendrites
The gap between two dna fragments is sealed by what?,by dna ligase,dna pol,dntps,rna primers,reductase,rna ligase,enzymes
"""incident"" and ""reflected"" are two types of what?",rays,entirely,images,surfaces,cells,mirrors,collisions
Where does most of the earth's energy come from?,sun,georgia,new york,mars,cover,fire,heat
What do we call a carbohydrate formed by two monosaccharides bonding together?,disaccharide,triglyceride,sugar alcohol,polysaccharide,Nitrate,olivine,calcite
What determines how long a planet's orbit is around the sun?,distance,speed,size,direction,size,age,direction
"Anaerobic cellular respiration does not require the presence of what (by the very fact it is anaerobic, specifically)?",oxygen,water,carbon dioxide,lactic acid,carbon,helium,nitrogen
The three-dimensional spaces with specific shapes that are components of electrons shells are known as what?,orbitals,vesicles,electron clouds,energy shells,arrays,isotopes,ventricals
"In relation to electrical current, what property will a narrow wire have more of than a wide wire?",resistance,voltage,conductivity,current density,voltage,wattage,current
"Oil and water do not mix, instead forming two distinct layers called what?",phases,emulsions,suspensions,solutions,changes,stages,surfaces
Oranges and lemons are examples of fruits that contain what acid?,citric acid,apple acid,pear acid,banana acid,nitric acid,urea acid,beryllium acid
What is the term for buildup of cell debris and cholesterol inside the arteries?,atherosclerosis,arrowosis,arterial sclerosis,vascular hardening,fibrosis,phimosis,sclerosis
"In the body, in which organ does chemical digestion mainly take place?",small intestine,large intestine,stomach,liver,liver,kidneys,large intestine
Excessive exposure to what is the main cause of skin cancer?,uv light,smoking,poor diet,lack of exercise,LED light,fluorescent light,incandescent light
Mitosis actually occurs in how many phases?,four,five,three,two,Seven,six,two
"Three body segments, a hard exoskeleton, and jointed appendages are features of what invertebrate group, which includes spider and insects?",arthropod,mammal,reptile,fish,annelid,sauropod,crustacean
When do gases and liquids become solids?,at low temperatures,100c,-200c,1000c,at relative temperatures,at hot temperatures,at high temperatures
The full range of wavelengths and frequencies of electromagnetic radiation make up the ____________,electromagnetic spectrum,audio spectrum,electromagnetic wave,light spectrum,electronic spectrum,mechanical spectrum,anomalous spectrum
What are tiny hairs that line the bronchi called?,cilia,blood vessels,goblet cells,alveoli,antennae,alveoli,flagella
"What cycle occurs in women of reproductive age, as a long as a sperm does not enter an egg?",menstrual cycle,cell cycle,water cycle,fertility cycle,extraction cycle,tissue cycle,menopausal cycle
Corrosion is usually defined as the degradation of metals due to what?,electrochemical process,mechanical stress,exposure to light,chemical reactions,crystalline process,nuclear process,oscillatory process
What type of organism generally lives in or on its host?,parasite,commensal,mutualist,producer,predator,bacteria,insect
What causes the alpine tundra to be so cold?,high altitude above sea level,temperature,latitude,precipitation,moderate altitude,low altitude,low air density
"Like the frame of a house, what gives the cell an internal structure?",cytoskeleton,dna,mitochondria,chloroplasts,cytoplasm,cellulose,endoskeleton
A species that benefits and harms the host organism is called a what?,parasite,symbiote,commensalist,predator,viruses,predators,host
When liquid water changes to water vapor it is called?,evaporation,fogging,condensation,boiling,absorption,transpiration,evaporation
Reptiles are described by what term that means their internal temperature depends on the temperature of their environment?,ectothermic,endothermic,thermoregulating,thermogenic,zygomorphic,endothermic,actinomorphic
What lines the passages of the nose and senses chemicals in the air?,odor receptors,tissues,hairs,nerve endings,matter receptors,consumption receptors,optic receptors
Telomerase is typically active in germ cells and adult what?,stem cells,adult somatic cells,adult differentiated cells,adult tissues,human growth hormone,chromosomes,sex cells
"What do you call materials able to conduct electricity with 100% efficiency, meaning that no energy is lost during the electrical transmission?",superconductors,superconducting materials,energy-efficient materials,perfect conductors,poor conductors,electromagnets,super-insulators
"Speed, loudness, and pitch are properties of what?",sound,colour,temperature,texture,metal,colour,light
Radioactive nuclei and particles are represented by which symbols?,nuclear,chemicle,nucleon,neutrimonio,energy,greek,compound
Properties of matter can be considered physical or?,chemical,biological,psychological,philosophical,gas,mineral,liquid
What are alveoli?,tiny air sacs in the lungs,blood vessels,cilia,mucous membranes,tiny air natalensis in the lungs,sacs in the diaphragm,cilia in the throat
Railroad tracks and roadways can buckle on hot days if they lack sufficient what?,expansion joints,slack,differential contraction,contraction joints,cartilaginous joints,contraction joints,attraction joints
What disease is the result of unchecked cell division caused by a breakdown of the mechanisms regulating the cell cycle?,cancer,heart disease,diabetes,obesity,gout,dementia,diabetes
What is the term for an exact genetic copy?,clone,international clone convention,dna replication,genetic twin,genetic recreation,duplication,genetic repeat
Where do recent rocks point towards on earth?,north magnetic pole,east magnetic pole,south magnetic pole,equator,space,equator,south magnetic pole
"What type of cell function relies on microfilaments, which are the actin components of the cytoskeleton?",muscle,wnt,microtubules,mitochondria,neurons,skin cells,nephrons
The two simplest models of population growth use what to describe the rate of change in the size of a population over time?,deterministic equations,stanicmodel,random events,luck,predestination equations,analogous equations,wave function
What is the separation of ions that occurs when a solid ionic compound dissolves?,dissociation,ionization,hydrolysis,condensation,combustion,decomposition,inflammation
What do charged particles in motion generate?,magnetic fields,electric fields,heat fields,radioactive waves,fission,electricity,gravitational fields
What bonding is formed in polar amino acid side chains?,hydrogen bonding,ionic bonding,hydrophobic interactions,disulfide linkages,calcium bonding,carbon bonding,helium bonding
What is the name for the energy waves that radiate out from the center of an earthquake?,seismic waves,earthquake waves,ground vibrations,shockwaves,deep waves,volcanic waves,particle waves
What is the broadest category in the linnaean system?,kingdom,phylum,class,order,phylum,class,domain
"The three main body segments of an arthropod are head, thorax, and what?",abdomen,wing,tail,foot,legs,tail,gluteus
What is the term for what the earth rotates on?,axis,orbit,rotation,revolve,radius,tip,compass
A vector is any quantity that has magnitude and what?,direction,magnitude,length,angle,length,longitude,latitude
The softer connective tissue that fills the interior of most bone is referred to as what?,bone marrow,hematopoiesis,bone matrix,mineral storage,solid marrow,liquid marrow,attached marrow
What soil is common in deciduous forests?,pedalfer,loam,clay,silty loam,sandy soil,xerophyte,loam
What do voltmeters measure across a resistor?,the voltage drop,current,power consumption,wires,the vibration drop,amplitude,energy loss
Cardiac muscle is found only in which part of the heart?,the walls,the septum,the valves,the chambers,the ridges,the left side,the bottom
The concentration of the hydrogen ion in a solution can be calculated when what is known?,ph,qh,oh-,h,temperature,velocity,pressure
A fever also causes the immune system to make more of what?,white blood cells,gold cells,platelet cells,antibodies,insulin,red blood cells,urea
"In an aqueous solution, what is the solvent?",water,ethanol,acetone,methanol,oil,any liquid,saltwater
What do scientists think to be the oldest eukaryotes?,protists,bacteria,archaea,fungi,bivalves,arthropods,ciliate
How did the first seed plants form seeds?,in cones,in leaves,in stems,underground,in leaves,in folds,in stems
What green cell structures of a leaf are visible under a high power microscope?,chloroplasts,cell membrane,cell wall,vacuole,fibroblasts,golgi apparatus,veins
What indicates the speed at which a reaction proceeds?,the reaction rate,road conditions,weather,cookie temperature,the transform rate,time zone,reaction scale
What type of climate does the coast of california have?,mediterranean,desert,tropical,alpine,rainforest,tropical,arctic
Most diplomonads and parabasalids are found in what kind of environment?,anaerobic,aerobic,terrestrial,freshwater,acidic,enzymatic,skeletal
Oxygen is an element in what form of matter?,gas,liquid,solid,plasma,liquid,solid,plasma
What do experts estimate is the cause for the extinction of hundreds of species every year?,human activities,climate change,natural disasters,alien invasions,migration,predation,intraspecies competition
What branch of science is concerned with matter and the changes that it can undergo?,chemistry,electronics,physics,biology,geology,physiology,biology
What type of molecules help the plasma membrane keep its shape?,cholesterol,glycoproteins,glycolipids,carbohydrates,proteins,magnesium,metabolic
"Unlike matter, which is continuously recycled through ecosystems, what must constantly be added to an ecosystem for use by organisms?",energy,food,water,oxygen,hydrogen,fuel,carbon
What form of matter has a fixed volume but not a fixed shape?,liquid,solid,gas,plasma,mixture,gas,solid
Why is closed reduction simpler than open reduction in bone repair?,no surgery needed,more complex,requires surgery,less severe,no medicine needed,no pain pills needed,no treatment needed
"When resources are limited, populations exhibit what type of growth?",logistic growth,radioactive growth,parabolic growth,linear growth,efficient growth,component growth,lasting growth
What protects the brain and spinal cord in the central nervous system?,meninges,blood,bones,skin,neutrophils,dermis,Flexing
Heating ice to its melting point (0°c) gives its molecules enough energy to do what?,move,freeze,evaporate,explode,settle,evaporate,freeze
An increase in what levels results in sound waves that are louder and of greater intensity?,decibel levels,hierarchy levels,sound wavelengths,frequency levels,radiation levels,height levels,heat levels
What is it called when two plates slide past each other in opposite directions?,transform plate boundary,continental drift,convergent plate boundary,divergent plate boundary,plate divergence,transformation,tectonic movement
What force occurs because no surface is perfectly smooth?,friction,gravity,electromagnetism,surface tension,vibration,gravity,tension
What structure collect fluid that leaks out from blood capillaries?,lymph capillaries,venules,blood vessels,tissue fluid,pulmonary capillaries,varicose veins,alveoli
What is the eighth planet from our sun?,neptune,earth,mars,saturn,earth,mars,uranus
Where is dna located in prokaryotic cells?,cytoplasm,nucleus,mitochondria,chloroplasts,ribosomes,cytoskeleton,mitochondria
"Water is considered a what since it is a polar molecule with slightly positive and slightly negative charges, so ions and polar molecules can readily dissolve in it?",solvent,binder,filter,reactant,solute,pigment,osmotic
The pressure inside a container is dependent on the amount of what inside the container?,gas,liquid,solid,temperature,air,emissions,liquids
What are plant structures that contain male and/or female reproductive organs?,flowers,leaves,roots,stems,roots,stems,leaves
"Both the forward reaction and the reverse reaction continue to occur, so chemical equilibrium is said to be what, rather than static?",dynamic,static,stable,stationary,abrasive,fluid,stable
What is the watery fluid that bathes tissues and organs and contains protective white blood cells but does not contain erythrocytes?,lymph,whole blood,serum,plasma,stomach,basil,secretion
How many openings do adult tunicates have that siphon water in and out of the body?,two,4,6,8,three,four,one
What is the term for the combined forces acting on an object?,net force,motive force,resultant force,total force,total impact,blunt force,critical force
What is the name of the first stage of photosynthesis?,light reactions,hex reactions,dark reactions,biochemical reactions,consumption,absorption,contamination
What are endothermic tetrapod vertebrates most commonly called?,birds,terrestrial,aquatic,mammalian,insects,reptiles,mammals
Free fatty acids are carboxylic acids that contain long chains of what?,hydrocarbons,amino acids,proteins,sugars,vapors,lipds,particles
What do you call nutrients that your body needs in fairly large amounts?,macronutrients,micronutrients,vitamins,minerals,B-complex,super foods,antioxidants
"After coming apart from the crystal, the individual ions are then surrounded by solvent particles in a process called what?",solvation,ionization,dissociation,hydrolysis,osmosis,ionization,hydrolysis
A battery is a multiple connection of what kind of cells?,voltaic cells,leds,supercapacitors,fuel cells,cabri cells,organic cells,localweather cells
What is needed for a person to be affected by an autosomal dominant disorder?,one mutated allele,2 mutated alleles,both parents must be carriers of the gene to be affected,both parents must have the mutated gene to be affected,extra alleles,one less chromosome,one isolated allele
The rocks athe mid-ocean ridge are nearly free of what?,sediment,water,magma rocks,heat,minerals,scratches,metals
What do we call a simple machine that consists of a rope and grooved wheel?,pulley,wheel,rope,block,axle,lever,pedal
What do you call health-promoting molecules that inhibit the oxidation of other molecules?,antioxidants,oxidizers,radicals,inhibitors,neurotransmitters,nutrients,hormones
"In a correctly balanced equation, all coefficients must be what kind of numbers?",whole,decimal,rational,irrational,prime,negative,fractional
"Highly reactive nonmetals, which only accept electrons and do not give them up, make poor what?",electricity conductors,heat insulators,battery acid,radioactive materials,alloys,insulators,electromagnets
What is the passing of traits from parents to offspring called?,heredity,propagation,inheritance,transference,variability,cell division,mutation
Which part of the atmosphere do greenhouse gasses trap heat in?,troposphere,stratosphere,mesosphere,thermosphere,thermosphere,lithosphere,stratosphere
How are the fetuses of eutherian mammals connected to their mothers during gestation?,complex placenta,umbilical cord,amniotic fluid,afterbirth,visual placenta,altered placenta,Movement Placenta
Vivipary refers to the development and nourishment of a what?,embryo,egg,fetus,seed,seed,egg,nucleus
"What are the flattened, disk-shaped cells in blood that carry oxygen?",red blood cells,white blood cells,platelets,plasma,plasma,platlets,white blood cells
What is matter in the universe that does not emit light called?,dark matter,ordinary matter,black holes,antimatter,cold matter,hidden matter,black matter
"Without particles, water vapor could not do what?",condense,no,unmix,evaporate,dissipate,dilute,evaporate
"Sounds are produced when muscles in what organ are tensed, stretching the cords so they vibrate?",larnyx,liver,brain tremors,vocal chords,throat,thorax,diaphragm
What is most energy that is lost to the environment lost as?,heat,energy,water,air,gravity,vapor,precipitation
What is the resultant waste product of photosynthesis?,oxygen,carbon dioxide,water,nitrogen,carbon,argon,sulfur
What is a body of freshwater that flows downhill in a channel?,a stream,a lake,a canal,a puddle,a river,an eddy,a creek
What form of reproduction creates offspring that are genetically identical to the parent?,asexual,sexual,budding,parthenogenesis,microscopic,primitive,sexual
"Asteroids, comets, and planets move around the sun in curved paths called what?",orbits,trajectories,paths,circles,satellites,curves,ellipticals
The primary motor cortex is located in which lobe of the brain?,frontal,fly,parietal,occipital,Parietal,Temporal lobe,Occipital
The beginning of what season experiences the shortest period of daylight hours?,winter,summer,spring,fall,spring,summer,autumn
The sex of developing crocodilians is determined by what during incubation?,the temperature of the eggs,the humidity of the eggs,the size of the eggs,the color of the eggs,the color of the eggs,the size of the eggs,the location of the eggs
What are the two main types of star clusters?,open and globular,elliptical clusters,spiral clusters,galactic clusters,open and supergiant,closed and spherical,open and elliptical
Many species of flowering plants have coevolved with specific what?,pollinators,soil,sunlight,fertilizer,predators,climates,spores
Do most waves strike the shore head on or at an angle?,at an angle,head on,directly,perpendicularly,side on,head on,at a distance
"What ingredient has been used in brewing, winemaking and baking for thousands of years?",yeast,salt,sugar,honey,flour,fruit,oils
"The tibia is the larger, weight-bearing bone located on the medial side of the leg. the fibula is the slender bone of the lateral side of the leg and does not do what?",bear weight,legitimatize weight,support the body,provide stability,resist weight,support weight,drive weight
What are reptiles unable to absorb through their skin because of scales?,oxygen,water,nutrients,carbon dioxide,food,water,carbon
All types of cells are enclosed by what?,membrane,window,bubble,hair,substrate,cell wall,stoma
What type of cells detect stimuli?,sensory nerve cells,nervous system,sensory cells,environmental stimuli,expressive nerve cells,grid nerve cells,muscle cells
What 3 things do animals need to live and survive?,"air, water, and food",shelter,exercise,money,"air, water, and socialization","sex, water, and sleep","water, food, and an ecosystem"
"The cultivated forms of wheat, cotton, and tobacco plants are all what?",allopolyploids,synthetic hybrids,genetic mutants,primitive species,pores,sporozoans,bales
What is the process by which plants make the simple sugar glucose from carbon dioxide and water is called?,photosynthesis,respiration,fermentation,transpiration,glycolysis,metamorphosis,osmosis
"The three units of kpa, atm or mmhg commonly measure what?",pressure,batting average,ping pong skills,baseballstats,resistance,weight,energy
The behavior of ideal gases is explained by what theory of gases?,kinetic molecular theory,ốpp úitem revision date 1794-03-04t224300-0800 zone pacificauckland manythe behavior of ideal gases is explained by what theory of gases answer kinetic molecular theory,gas laws theory,atomic theoryimproving answer text the motion of the molecules in the gas is determined by the kinetic molecular theory of gases the speed of the molecules determines the behavior of the gas,molecular theory,Charles's Law,kinetic theory
Besides ingesting and photosynthesis how can protists get their food?,absorption,respiration,digestion,evaporation,digestion,accumulation,osmosis
"The male gametophyte releases what, which swim - propelled by their flagella - to reach and fertilize the female gamete or egg?",sperm,egg,pollen,embryo,cytoplasm,tadpoles,dna
"While the goal of science is to increase knowledge, the goal of what is to use knowledge for practical purposes?",technology,science,research,innovation,advancement,invention,industry
What are the two terms that designate how well aqueous solutions conduct electricity?,polar and nonpolar,glassy,slimy,sharp,secular and nonpolar,filter and nonpolar,hot and nonpolar
The concept that atoms tend to have eight electrons in their valence electron shell is called what?,octet rule,the duet rule,the six-pack rule,the twelve-pack rule,string rule,diagonal rule,coupling rule
